MAPID,NAME,CATEGORY1,CATEGORY2,ADDRESS,Geo Local Area
GCP190,Neighbourhood Composter,Greenest City Fund Project,Zero-Waste,Kitsilano,Kitsilano
GCP205,Community zero waste educational art pro,Greenest City Fund Project,Zero-Waste,Kitsilano,Kitsilano
GCP206,Shared Composter for the Cypress Communi,Greenest City Fund Project,Zero-Waste,Kitsilano,Kitsilano
GCP215,Online Food Project & Event,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP222,Restaurant Herb Garden,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP226,Boulevard Garden,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP227,Playground & Garden,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP233,Local Food Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP236,Community Honey Extraction,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP238,Bike Rack & Community Garden,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP240,Community Kitchen & Garden Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP241,Rain Barrel Installation,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain",Riley Park
GCP243,Community Herb Garden  and Celebration,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP248,The Mavis McMullen Growing Community Pro,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP257,EAST WEST Park Garden Project,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP258,Urban Seed Project: Truck Farm,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP261,Electric Vehicle Charging Station,City projects,Clean-Air,455 W 10th Avenue,Mount Pleasant
GCP263,Electric Vehicle Charging Station,Private projects,Clean-Air,216 W 2nd Avenue,Mount Pleasant
GCP264,Electric Vehicle Charging Station,City projects,Clean-Air,1 Athletes Way,Mount Pleasant
GCP268,Electric Vehicle Charging Station,Private projects,Clean-Air,3228 Ross Drive,
GCP270,Electric Vehicle Charging Station,Private projects,Clean-Air,290 SW Marine Dr,Marpole
GCP271,Electric Vehicle Charging Station,Private projects,Clean-Air,26 Marine Drive SW,Marpole
GCP273,Electric Vehicle Charging Station,City projects,Clean-Air,6810 Main Street,Sunset
GCP278,Electric Vehicle Charging Station,Private projects,Clean-Air,401 W Georgia St,Downtown
GCP279,Electric Vehicle Charging Station,City projects,Clean-Air,535 Richards St,Downtown
GCP282,Electric Vehicle Charging Station,Private projects,Clean-Air,900 Canada Place Way,Downtown
GCP283,Electric Vehicle Charging Station,Private projects,Clean-Air,999 Canada Place,Downtown
GCP287,Electric Vehicle Charging Station,Private projects,Clean-Air,1183 Melville St,Downtown
GCP288,Electric Vehicle Charging Station,City projects,Clean-Air,480 Broughton St,Downtown
GCP290,Electric Vehicle Charging Station,Private projects,Clean-Air,1799 Barclay St,West End
GCP297,Electric Vehicle Charging Station,City projects,Clean-Air,1040 W Pender St.,Downtown
GCP306,Community Garden,Private projects,Local-Food,265 E 4th Ave,Mount Pleasant
GCP307,Community Garden,Private projects,Local-Food,1025   Boundary Rd,
GCP319,Community Garden,Private projects,Local-Food,453  W 12th Ave,Mount Pleasant
GCP323,Community Garden,Private projects,Local-Food,5580  Dunbar St,Dunbar-Southlands
GCP324,Community Garden,Private projects,Local-Food,5395  Dundee St,Renfrew-Collingwood
GCP325,Community Garden,Private projects,Local-Food,3010 E South Kent  Ave,Killarney
GCP331,Community Garden,Private projects,Local-Food,803  E 16th Ave,Mount Pleasant
GCP341,Community Garden,Private projects,Local-Food,6199   Cypress St,Kerrisdale
GCP343,Community Garden,Private projects,Local-Food,1305 W 70th Ave,Marpole
GCP348,Community Garden,Private projects,Local-Food,989  Main Street,Downtown
GCP349,Community Garden,Private projects,Local-Food,3161   Ontario St,Mount Pleasant
GCP352,Community Garden,Private projects,Local-Food,400  Powell St,Strathcona
GCP354,Community Garden,Private projects,Local-Food,1100  Vernon Dr,Strathcona
GCP003,Local Garden Greenhouse,Private projects,Local-Food,535 Richards ST,Downtown
GCP004,Ostara Nutrient Recovery Technologies In,Private projects,Green-Economy,690 - 1199 West Pender St,Downtown
GCP005,Inteluma Energy Systems,Private projects,Green-Economy,813 Burrard St,West End
GCP010,LEED Platinum for New Construction and M,Private projects,Green-Buildings,1055 Canada Pl,Downtown
GCP014,LEED Gold New Construction Certified 201,Private projects,Green-Buildings,1 Kingsway,Mount Pleasant
GCP020,LEED Gold Building Certified 2011,Private projects,Green-Buildings,100 W 49th Av,Oakridge
GCP040,Eastside Movement for Business and Econo,Private projects,Green-Buildings,#310 - 111 West Hastings,Downtown
GCP043,BikeLab,City Studio Project,Green-Transportation,149 W Hastings St,Downtown
GCP049,Reimagine Your Park,City Studio Project,Green-Transportation,600 E 15th Ave,Mount Pleasant
GCP050,Urban Orchards,City Studio Project,Local-Food,1800 Spyglass Pl,Fairview
GCP059,Trout Lake Community Crawl,City Studio Project,Access-to-Nature,Cedar Cottage,Kensington-Cedar Cottage
GCP063,Food stories,City Studio Project,Local-Food,1800 Spyglass Pl,Fairview
GCP067,Parklets,City projects,Access-to-Nature,1032 Robson Street,West End
GCP068,Parklets,City projects,Access-to-Nature,3010 Main Street,Mount Pleasant
GCP071,Habitat Island,City projects,Access-to-Nature,,Mount Pleasant
GCP079,Community orchards,City projects,Local-Food,7800 Vivian St,Killarney
GCP091,Community orchards,City projects,Local-Food,8705 Angus Dr,Kerrisdale
GCP102,Stanley Park Ecology Society,Greenest City Fund Project,Access-to-Nature,Stanley Park,
GCP107,Eastside Movement for Business & Economi,Greenest City Fund Project,Green-Economy,310 - 111 West Hastings,Downtown
GCP115,Farmers Markets,Private projects,Local-Food,East Parking Lot of Nat Bailey Stadium - 30th & Ontario Street,Riley Park
GCP116,Farmers Markets,Private projects,Local-Food,Croatian Cultural Centre,Kensington-Cedar Cottage
GCP117,Farmers Markets,Private projects,Local-Food,1100 Block Station Street along Thornton Park,Strathcona
GCP119,Farmers Markets,Private projects,Local-Food,North Parking Lot of John Hendry Park at Trout Lake,Kensington-Cedar Cottage
GCP126,Living Oceans Society,Greenest City Fund Project,Local-Food,207 W Hastings St,Downtown
GCP127,Vancouver Fruit Tree Project Society,Greenest City Fund Project,Local-Food,517-119 W. Pender St,Downtown
GCP130,Annual Earth Day Vancouver Celebration,Greenest City Fund Project,Lighter-Footprint,Grandview Park,Grandview-Woodland
GCP131,Environmental Youth Alliance,Greenest City Fund Project,Local-Food,Suite 517-119 West Pender Street,Downtown
GCP132,John Henderson Elementary,Greenest City Fund Project,Local-Food,51 E 53rd Av,Sunset
GCP133,VSB's Engaged Immigrant Youth program,Greenest City Fund Project,Local-Food,1580 W Broadway,Fairview
GCP134,Lord Kitchener Outdoor Classroom,Greenest City Fund Project,Local-Food,3455 W. King Edward Av,Dunbar-Southlands
GCP139,Purple Thistle,Greenest City Fund Project,Local-Food,260-975 Vernon Av,Strathcona
GCP144,Collingwood Green Program,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,Renfrew-Collingwood
GCP146,Norquay Community Learning Orchard,Greenest City Fund Project,Local-Food,South Van - Collingwood,Renfrew-Collingwood
GCP149,Prayers in Garden,Greenest City Fund Project,Local-Food,South Van - Collingwood,Renfrew-Collingwood
GCP152,Oil Dependancy education station,Greenest City Fund Project,Climate-Leadership,South Van - Collingwood,Kensington-Cedar Cottage
GCP153,Salsbury Herb Garden,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP155,Adanac Growing & Harvesting Community Pr,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP159,Cedar Cottage Bee and Tree Project,Greenest City Fund Project,Access-to-Nature,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP160,Pollinating for the People,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP161,My Own Backyard Community Garden (MOBY),Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP162,Cooking off the Grid,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP163,Accessibility at Copely Community Orchar,Greenest City Fund Project,Local-Food,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP165,Natural Playground,Greenest City Fund Project,Access-to-Nature,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP168,Styro free challenge,Greenest City Fund Project,Zero-Waste,West End,West End
GCP171,Organic coop,Greenest City Fund Project,Local-Food,West End,West End
GCP177,Street garden,Greenest City Fund Project,Local-Food,West End,West End
GCP181,Home harvest,Greenest City Fund Project,Local-Food,West End,West End
GCP183,Compost initiative,Greenest City Fund Project,Zero-Waste,West End,West End
GCP184,Kitsilano Composts,Greenest City Fund Project,Zero-Waste,Kitsilano,Kitsilano
GCP193,"Kits Meals: Drop-in ""Spaghetti"" Nights",Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP195,Maple St Medicinal Herb Garden,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP196,Kits Village Collaborative Garden,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP198,Envisioning Community Food Resilience on,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP199,3 Bin Compost System for Queen Elizabeth,Greenest City Fund Project,Zero-Waste,Kitsilano,Kitsilano
GCP200,Cultivating Collaborative and Community,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP201,Community Garden (SGSC),Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP204,Playhouse and Sandbox,Greenest City Fund Project,Lighter-Footprint,Kitsilano,Kitsilano
GCP207,Seismic Upgrading with Passive House Tec,Greenest City Fund Project,Lighter-Footprint,Kitsilano,Kitsilano
GCP212,Edible Garden Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP213,Bike Rally/Ride,Greenest City Fund Project,Green-Transportation,"Mount Pleasant, Little Mountain",Riley Park
GCP214,Clothing Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP217,Fall Harvest Party,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP223,Park Fruit Tree Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP230,Social Community Garden,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP232,Laneway Planters,Greenest City Fund Project,Access-to-Nature,"Mount Pleasant, Little Mountain",Riley Park
GCP244,"Organic herb, veggie, and flower garden",Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP245,Strathcona Community Garden Lammas Day C,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP247,Junk to Funk – Recycle Art Project,Greenest City Fund Project,Zero-Waste,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP250,At Risk Youth Housing Food Security and,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP253,Green House for my school or daycare,Greenest City Fund Project,Lighter-Footprint,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP265,Electric Vehicle Charging Station,Private projects,Clean-Air,2083 Alma St,West Point Grey
GCP267,Electric Vehicle Charging Station,Private projects,Clean-Air,6085 Thunderbird Boulevard,
GCP269,Electric Vehicle Charging Station,Private projects,Clean-Air,4250 Wesbrook Mall,
GCP274,Electric Vehicle Charging Station,Private projects,Clean-Air,5251 Oak Street,Shaughnessy
GCP280,Electric Vehicle Charging Station,City projects,Clean-Air,160 Water Street,Downtown
GCP281,Electric Vehicle Charging Station,Private projects,Clean-Air,200 Granville Street,Downtown
GCP285,Electric Vehicle Charging Station,Private projects,Clean-Air,900 W Georgia St,Downtown
GCP289,Electric Vehicle Charging Station,City projects,Clean-Air,900 Denman St,West End
GCP300,Electric Vehicle Charging Station,City projects,Clean-Air,701 W Georgia St,Downtown
GCP308,Community Garden,Private projects,Local-Food,400  Hawks St,Strathcona
GCP309,Community Garden,Private projects,Local-Food,1060  Howe St,Downtown
GCP311,Community Garden,Private projects,Local-Food,1001  Cotton Dr,Grandview-Woodland
GCP316,Community Garden,Private projects,Local-Food,999  Charleson St,Fairview
GCP317,Community Garden,Private projects,Local-Food,2755  Cheyenne Ave,Renfrew-Collingwood
GCP326,Community Garden,Private projects,Local-Food,2250  Fraser St,Mount Pleasant
GCP332,Community Garden,Private projects,Local-Food,2075   Woodland Dr,Grandview-Woodland
GCP333,Community Garden,Private projects,Local-Food,58 W Hastings St,Downtown
GCP336,Community Garden,Private projects,Local-Food,1407  Laburnum St,Kitsilano
GCP338,Community Garden,Private projects,Local-Food,2776  Semlin Dr,Kensington-Cedar Cottage
GCP340,Community Garden,Private projects,Local-Food,705  Jackson Ave,Strathcona
GCP342,Community Garden,Private projects,Local-Food,1305  W 70th Ave,Marpole
GCP344,Community Garden,Private projects,Local-Food,3554 Sparrow Place,Killarney
GCP350,Community Garden,Private projects,Local-Food,2475  Franklin Street,Hastings-Sunrise
GCP353,Community Garden,Private projects,Local-Food,1200  Parker St,Strathcona
GCP359,Community Garden,Private projects,Local-Food,11 W 10th Ave,Mount Pleasant
GCP361,Community Garden,Private projects,Local-Food,5332   Windsor St,Kensington-Cedar Cottage
GCP362,Community Garden,Private projects,Local-Food,151 W 1st  Ave,Mount Pleasant
GCP400,Food Scraps Drop off at Farmers Markets,Private projects,Local-Food,1100 Block of Comox Street across from Nelson Park at Mole Hill,West End
GCP001,River District Energy Utility Project,Private projects,Climate-Leadership,8683 Kerr St,Killarney
GCP006,LEED Platinum Core and Shell Certified i,Private projects,Green-Buildings,2930 & 2940 Virtual Way,Renfrew-Collingwood
GCP007,LEED Platinum Building Certified in 2010,City projects,Green-Buildings,1 Athletes Way,Mount Pleasant
GCP009,LEED Platinum Building Certified in 2010,Private projects,Green-Buildings,3987 W 21st AV,Dunbar-Southlands
GCP013,LEED Gold Commercial Interior Certified,Private projects,Green-Buildings,555 W 12th AV,Fairview
GCP015,LEED Gold Canada for Existing Buildings:,Private projects,Green-Buildings,666 Burrard St,Downtown
GCP016,LEED Gold Building Certified 2012,City projects,Green-Buildings,85 W 1st AV,Mount Pleasant
GCP017,LEED Gold Building Certified 2011,Private projects,Green-Buildings,100 W 49th Av,Oakridge
GCP021,LEED Gold Building Certified 2011,City projects,Green-Buildings,6810 Main St,Sunset
GCP022,LEED Gold Building Certified 2010,Private projects,Green-Buildings,122 Walter Hardwick Av,Mount Pleasant
GCP024,LEED Gold Building Certified 2010,Private projects,Green-Buildings,1616 Columbia St,Mount Pleasant
GCP025,LEED Gold Building Certified 2010,Private projects,Green-Buildings,1625 Manitoba St,Mount Pleasant
GCP026,LEED Gold Building Certified 2010,Private projects,Green-Buildings,1633 Ontario St,Mount Pleasant
GCP028,LEED Gold Building Certified 2010,Private projects,Green-Buildings,1661 Ontario St,Mount Pleasant
GCP039,Van Dusen Garden’s Visitor Centre Living,City projects,Green-Buildings,5251 Oak St,Shaughnessy
GCP045,New Bike pumps,City projects,Green-Transportation,Science World,Downtown
GCP046,iGo,City Studio Project,Green-Transportation,Hornby and Seaside,Downtown
GCP051,Bikes N Business,City Studio Project,Green-Transportation,243 Union St,Strathcona
GCP052,Compost Collective,City Studio Project,Zero-Waste,1800 Spyglass Pl,Fairview
GCP056,ResponsibiliTREES,City Studio Project,Access-to-Nature,Mount Pleasant neighbourhood,Mount Pleasant
GCP057,Vancouver Orphaned Spaces,City Studio Project,Access-to-Nature,Grandview-Woodlands neighbourhood,Grandview-Woodland
GCP064,Kickstand,Private projects,Green-Transportation,1739 Venables St,Grandview-Woodland
GCP065,Vancouver Area Cycling,Greenest City Fund Project,Green-Transportation,3 W 3rd Av,Mount Pleasant
GCP066,Mount Pleasant Neighbourhood House,Greenest City Fund Project,Zero-Waste,800 E Broadway,Mount Pleasant
GCP069,Parklets,City projects,Access-to-Nature,800 44th Ave,Sunset
GCP073,Community orchards,Private projects,Local-Food,3434 Falaise Av,Renfrew-Collingwood
GCP074,Community orchards,City projects,Local-Food,7402 Ross Street,Sunset
GCP075,Community orchards,City projects,Local-Food,4701 Dunbar Street,Dunbar-Southlands
GCP076,Community orchards,City projects,Local-Food,390 E 36th Avenue,Riley Park
GCP078,Traynor-Mayor Residence,Private projects,Green-BuildingsLocal-Food,3839 Ontario St,Riley Park
GCP082,Community orchards,Private projects,Local-Food,3470 Crowley Drive,Renfrew-Collingwood
GCP084,Community orchards,City projects,Local-Food,110 W 7th Av,Mount Pleasant
GCP088,Community Garden,Private projects,Local-Food,2267 and 2277 E 24th Ave,Kensington-Cedar Cottage
GCP094,Community orchards,City projects,Local-Food,2390 Brunswick St,Mount Pleasant
GCP095,Community orchards,Private projects,Local-Food,Raymur St. and Malkin Av,Strathcona
GCP098,Community orchards,Greenest City Fund Project,Local-Food,3155 E 27th Av,Renfrew-Collingwood
GCP101,Tree City Canada Association,Greenest City Fund Project,Access-to-Nature,#110-1555 Charles Street,Grandview-Woodland
GCP103,Young Naturalists' Club of BC Society,Greenest City Fund Project,Access-to-Nature,1620 Mount Seymour Rd,Downtown
GCP104,Evergreen,Greenest City Fund Project,Lighter-Footprint,107 - 555 Great Northern Way,Strathcona
GCP108,Sole Food Farms - urban farms,Private projects,Local-Food,399 Hawks Av,Strathcona
GCP112,Food Scraps Drop off at Farmers Markets,Private projects,Local-Food,1100 Comox St,West End
GCP118,Farmers Markets,Private projects,Local-Food,East Boulevard between 37th and 41st Avenue,Shaughnessy
GCP121,Farmers Markets,Private projects,Local-Food,1100 Block of Comox Street across from Nelson Park at Mole Hill,West End
GCP122,Musqueam Youth for Community Sustainabil,Greenest City Fund Project,Zero-Waste,6615 Salish Drive,Dunbar-Southlands
GCP124,Fresh Roots Urban Farm Society & School,Greenest City Fund Project,Local-Food,333 Terminal AV,Strathcona
GCP125,Kitsilano Christian Community,Greenest City Fund Project,Local-Food,16th and Pine St,Fairview
GCP128,Westside Food Collaborative,Greenest City Fund Project,Local-Food,3683 W 4th Av,Kitsilano
GCP136,Still Moon Arts Society,Greenest City Fund Project,Access-to-Nature,3900 Renfrew St,Renfrew-Collingwood
GCP137,McCreary Youth Advisory & Action Council,Greenest City Fund Project,Green-Transportation,3552 E Hastings St,Hastings-Sunrise
GCP141,The Magic Roundabout,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,Renfrew-Collingwood
GCP142,Schoolyard Community Chicken Coop,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,Renfrew-Collingwood
GCP150,Sexsmith School Sustainability Program,Greenest City Fund Project,Lighter-Footprint,South Van - Collingwood,Renfrew-Collingwood
GCP151,Beautifying Fraser Street,Greenest City Fund Project,Access-to-Nature,South Van - Collingwood,Renfrew-Collingwood
GCP164,Community Mural,Greenest City Fund Project,Lighter-Footprint,"Cedar Cottage, Kensington and Hastings-Sunrise",Kensington-Cedar Cottage
GCP167,Compost bins,Greenest City Fund Project,Zero-Waste,West End,West End
GCP172,Community link,Greenest City Fund Project,Lighter-Footprint,West End,West End
GCP173,Community fair,Greenest City Fund Project,Lighter-Footprint,West End,West End
GCP176,Organic rooftop garden,Greenest City Fund Project,Local-Food,West End,West End
GCP185,Boulevard VEG (Vancouver Edible Gardens),Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP186,Westside Community Kitchen,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP187,Kits Car Free Day Block Parties,Greenest City Fund Project,Lighter-Footprint,Kitsilano,Kitsilano
GCP188,Permaculture Blitz at 2078 W. 5th,Greenest City Fund Project,Access-to-Nature,Kitsilano,Kitsilano
GCP189,Lord Kitchener Outdoor Classroom,Greenest City Fund Project,Local-Food,Kitsilano,Dunbar-Southlands
GCP191,Victory Collaborative Garden,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP192,LocoMotoArt Events,Greenest City Fund Project,Lighter-Footprint,Kitsilano,Kitsilano
GCP194,Kits Urban Bees Collaborative,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP197,Kitsilano Bees,Greenest City Fund Project,Local-Food,Kitsilano,Arbutus-Ridge
GCP202,False Creek Children's Garden,Greenest City Fund Project,Local-Food,Kitsilano,Kitsilano
GCP203,Community Bike Pick-up recycling program,Greenest City Fund Project,Zero-Waste,Kitsilano,Kitsilano
GCP208,Ten Vancouver Earth Walks,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain",Riley Park
GCP209,Permaculture Demonstration,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP210,Community Garden,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP211,Food Waste Diversion Film,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP216,Neighbourhood Clean-up,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain",Riley Park
GCP218,Green Block Dinner & Discussion,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain",Riley Park
